Game Number,Test Agent,Win Percentage,Draw Percentage,Loss Percentage
46000,moderate_player,0.0,0.009,0.991
46000,advanced_player,0.0,0.0,1.0
47000,random_player,0.999,0.001,0.0
47000,moderate_player,0.001,0.002,0.997
47000,advanced_player,0.0,0.0,1.0
48000,random_player,0.997,0.001,0.002
48000,moderate_player,0.0,0.003,0.997
48000,advanced_player,0.0,0.0,1.0
49000,random_player,0.998,0.001,0.001
49000,moderate_player,0.0,0.008,0.992
49000,advanced_player,0.0,0.0,1.0
50000,random_player,0.998,0.0,0.002
50000,moderate_player,0.0,0.014,0.986
50000,advanced_player,0.0,0.0,1.0
51000,random_player,0.998,0.002,0.0
51000,moderate_player,0.0,0.005,0.995
51000,advanced_player,0.0,0.0,1.0
52000,random_player,0.997,0.003,0.0
52000,moderate_player,0.001,0.013,0.986
52000,advanced_player,0.0,0.0,1.0
53000,random_player,0.998,0.0,0.002
53000,moderate_player,0.001,0.009,0.99
53000,advanced_player,0.0,0.0,1.0
54000,random_player,0.997,0.002,0.001
54000,moderate_player,0.002,0.006,0.992
54000,advanced_player,0.0,0.0,1.0
55000,random_player,0.998,0.002,0.0
55000,moderate_player,0.001,0.01,0.989
55000,advanced_player,0.0,0.0,1.0
56000,random_player,0.999,0.0,0.001
56000,moderate_player,0.001,0.012,0.987
56000,advanced_player,0.0,0.001,0.999
57000,random_player,0.998,0.002,0.0
57000,moderate_player,0.002,0.013,0.985
57000,advanced_player,0.0,0.0,1.0
58000,random_player,0.998,0.001,0.001
58000,moderate_player,0.0,0.004,0.996
58000,advanced_player,0.0,0.0,1.0
59000,random_player,0.999,0.001,0.0
59000,moderate_player,0.001,0.003,0.996
59000,advanced_player,0.0,0.0,1.0
60000,random_player,0.999,0.0,0.001
60000,moderate_player,0.003,0.008,0.989
60000,advanced_player,0.0,0.0,1.0
61000,random_player,1.0,0.0,0.0
61000,moderate_player,0.002,0.018,0.98
61000,advanced_player,0.0,0.001,0.999
62000,random_player,0.998,0.002,0.0
62000,moderate_player,0.001,0.017,0.982
62000,advanced_player,0.0,0.0,1.0
63000,random_player,0.999,0.001,0.0
63000,moderate_player,0.0,0.015,0.985
63000,advanced_player,0.0,0.0,1.0
64000,random_player,1.0,0.0,0.0
64000,moderate_player,0.002,0.009,0.989
64000,advanced_player,0.0,0.002,0.998
65000,random_player,1.0,0.0,0.0
65000,moderate_player,0.0,0.008,0.992
65000,advanced_player,0.0,0.0,1.0
66000,random_player,0.999,0.0,0.001
66000,moderate_player,0.002,0.014,0.984
66000,advanced_player,0.0,0.0,1.0
67000,random_player,0.999,0.0,0.001
67000,moderate_player,0.002,0.01,0.988
67000,advanced_player,0.0,0.001,0.999
68000,random_player,1.0,0.0,0.0
68000,moderate_player,0.004,0.013,0.983
68000,advanced_player,0.0,0.0,1.0
69000,random_player,0.998,0.001,0.001
69000,moderate_player,0.003,0.01,0.987
69000,advanced_player,0.0,0.0,1.0
70000,random_player,1.0,0.0,0.0
70000,moderate_player,0.002,0.013,0.985
70000,advanced_player,0.0,0.0,1.0
71000,random_player,1.0,0.0,0.0
71000,moderate_player,0.002,0.015,0.983
71000,advanced_player,0.0,0.001,0.999
72000,random_player,1.0,0.0,0.0
72000,moderate_player,0.0,0.01,0.99
72000,advanced_player,0.0,0.0,1.0
73000,random_player,0.999,0.0,0.001
73000,moderate_player,0.002,0.003,0.995
73000,advanced_player,0.0,0.0,1.0
74000,random_player,0.998,0.002,0.0
74000,moderate_player,0.002,0.012,0.986
74000,advanced_player,0.0,0.0,1.0
75000,random_player,0.998,0.001,0.001
75000,moderate_player,0.001,0.007,0.992
75000,advanced_player,0.0,0.0,1.0
76000,random_player,1.0,0.0,0.0
76000,moderate_player,0.002,0.011,0.987
76000,advanced_player,0.0,0.0,1.0
77000,random_player,1.0,0.0,0.0
77000,moderate_player,0.002,0.013,0.985
77000,advanced_player,0.0,0.0,1.0
78000,random_player,1.0,0.0,0.0
78000,moderate_player,0.001,0.015,0.984
78000,advanced_player,0.0,0.0,1.0
79000,random_player,0.999,0.0,0.001
79000,moderate_player,0.001,0.007,0.992
79000,advanced_player,0.0,0.0,1.0
80000,random_player,0.998,0.001,0.001
80000,moderate_player,0.0,0.012,0.988
80000,advanced_player,0.0,0.0,1.0
81000,random_player,0.998,0.0,0.002
81000,moderate_player,0.001,0.012,0.987
81000,advanced_player,0.0,0.0,1.0
82000,random_player,0.999,0.001,0.0
82000,moderate_player,0.001,0.011,0.988
82000,advanced_player,0.0,0.0,1.0
83000,random_player,0.999,0.001,0.0
83000,moderate_player,0.0,0.008,0.992
83000,advanced_player,0.0,0.0,1.0
84000,random_player,0.999,0.001,0.0
84000,moderate_player,0.001,0.014,0.985
84000,advanced_player,0.0,0.0,1.0
85000,random_player,0.999,0.001,0.0
85000,moderate_player,0.001,0.015,0.984
85000,advanced_player,0.0,0.0,1.0
86000,random_player,0.996,0.002,0.002
86000,moderate_player,0.002,0.006,0.992
86000,advanced_player,0.0,0.001,0.999
87000,random_player,0.999,0.001,0.0
87000,moderate_player,0.0,0.009,0.991
87000,advanced_player,0.0,0.0,1.0
88000,random_player,0.999,0.001,0.0
88000,moderate_player,0.004,0.015,0.981
88000,advanced_player,0.0,0.0,1.0
89000,random_player,0.997,0.002,0.001
89000,moderate_player,0.003,0.01,0.987
89000,advanced_player,0.0,0.0,1.0
90000,random_player,0.997,0.003,0.0
90000,moderate_player,0.002,0.006,0.992
90000,advanced_player,0.0,0.0,1.0
91000,random_player,0.998,0.0,0.002
91000,moderate_player,0.004,0.007,0.989
91000,advanced_player,0.0,0.0,1.0
92000,random_player,0.996,0.004,0.0
92000,moderate_player,0.002,0.014,0.984
92000,advanced_player,0.0,0.0,1.0
93000,random_player,0.998,0.002,0.0
93000,moderate_player,0.001,0.012,0.987
93000,advanced_player,0.0,0.0,1.0
94000,random_player,0.997,0.002,0.001
94000,moderate_player,0.005,0.007,0.988
94000,advanced_player,0.0,0.0,1.0
95000,random_player,0.996,0.003,0.001
95000,moderate_player,0.002,0.014,0.984
95000,advanced_player,0.0,0.001,0.999
96000,random_player,1.0,0.0,0.0
96000,moderate_player,0.0,0.006,0.994
96000,advanced_player,0.0,0.0,1.0
97000,random_player,1.0,0.0,0.0
97000,moderate_player,0.003,0.013,0.984
97000,advanced_player,0.0,0.001,0.999
98000,random_player,0.998,0.002,0.0
98000,moderate_player,0.0,0.008,0.992
98000,advanced_player,0.0,0.0,1.0
99000,random_player,0.998,0.002,0.0
99000,moderate_player,0.002,0.013,0.985
99000,advanced_player,0.0,0.0,1.0
100000,random_player,0.998,0.0,0.002
100000,moderate_player,0.001,0.013,0.986
100000,advanced_player,0.0,0.0,1.0
101000,random_player,0.997,0.001,0.002
101000,moderate_player,0.003,0.011,0.986
101000,advanced_player,0.0,0.0,1.0
102000,random_player,0.997,0.003,0.0
102000,moderate_player,0.002,0.013,0.985
102000,advanced_player,0.0,0.0,1.0
103000,random_player,0.999,0.001,0.0
103000,moderate_player,0.002,0.004,0.994
103000,advanced_player,0.0,0.0,1.0
104000,random_player,0.999,0.0,0.001
104000,moderate_player,0.001,0.012,0.987
104000,advanced_player,0.0,0.0,1.0
105000,random_player,1.0,0.0,0.0
105000,moderate_player,0.0,0.014,0.986
105000,advanced_player,0.0,0.0,1.0
106000,random_player,1.0,0.0,0.0
106000,moderate_player,0.002,0.012,0.986
106000,advanced_player,0.0,0.0,1.0
